x,y,z,t,u
0.704835952,0.015647086,0.01153572,0.568999333,0.051551116
0.053432855,0.297405389,0.019567957,0.325161749,0.121609184
0.666672949,0.72724606,0.092926042,0.282655262,0.242233051
0.115535805,0.710096007,0.694249546,0.361434076,0.184900285
0.327528787,0.624695058,0.694562121,0.050604279,0.714923203
0.352227706,0.975660879,0.691250183,0.424084832,0.186244508
0.0115346,0.684288673,0.603410505,0.933059868,0.030143517
0.131014407,0.787043457,0.352456343,0.643164297,0.070565362
0.437138223,0.786729407,0.026170988,0.421290176,0.137742759
0.325881828,0.534034736,0.807996228,0.13677636,0.46158729
0.750869407,0.437234174,0.94532711,0.204094414,0.349721152
0.073817569,0.021500744,0.70211008,0.261190762,0.166025266
0.137233144,0.108360472,0.353856354,0.644522712,0.042426887
0.398703392,0.322444289,0.333519502,0.679072663,0.051821693
0.728832441,0.944543759,0.511207664,0.867922526,0.056415288
0.100357107,0.37620922,0.259591066,0.6494658,0.049335406
0.608725064,0.415051158,0.184778099,0.522422028,0.091839081
0.282145043,0.025989476,0.840543446,0.031420915,0.563433661
0.341334303,0.318831326,0.416585164,0.018252874,0.82806363
0.660357984,0.119168953,0.524503404,0.313214219,0.179780588
0.749975112,0.58732202,0.92284181,0.287401206,0.281489368
0.101402813,0.459653491,0.081448057,0.193004641,0.254276641
0.204623117,0.391599364,0.198271771,0.569876645,0.066104959
0.501902622,0.730172457,0.262237252,0.469087673,0.134170664
0.000872735,0.619204475,0.071209313,0.554060123,0.067097235
0.374844282,0.703363762,0.874340035,0.868004182,0.047497176
0.505294972,0.968102315,0.055690365,0.643384424,0.078639047
0.617585342,0.86373571,0.544368624,0.987782164,0.038509252
0.790831007,0.215497189,0.206778031,0.516794543,0.083899073
0.241137594,0.589798467,0.485268885,0.732516335,0.053591004
0.836208746,0.883064429,0.441202285,0.6873323,0.088391181
0.710594078,0.831719348,0.26855951,0.246682801,0.31392289
0.312541923,0.526207071,0.988173047,0.745168032,0.058088242
0.313737817,0.861406679,0.661659038,0.688023103,0.079229245
0.336165119,0.320253503,0.294917341,0.737724561,0.041375945
0.186206265,0.230959291,0.117444924,0.953509959,0.017503388
0.078983251,0.739466996,0.22213761,0.634037609,0.064331106
0.935493141,0.274432735,0.282733609,0.862482503,0.033464405
0.133640772,0.337271031,0.73627538,0.563924439,0.075698555
0.649330467,0.388507305,0.758038432,0.522807904,0.111494095
0.047484014,0.884037847,0.343360659,0.382086755,0.159009488
0.511343096,0.385837448,0.819308102,0.628034203,0.0777433
0.003803626,0.772667859,0.416905802,0.545861429,0.089542305
0.419165911,0.528357744,0.564888067,0.213013066,0.343593256
0.85178836,0.108652625,0.363302314,0.340700424,0.153611994
0.399573925,0.721852318,0.318514177,0.8337891,0.044096986
0.49862267,0.428021634,0.776294053,0.802558507,0.047662088
0.773642849,0.007440024,0.615062167,0.081339376,0.460600178
0.505304088,0.384088443,0.054703219,0.128515329,0.390022344
0.221262869,0.550820677,0.68210896,0.503553415,0.111279586
0.818749128,0.128142202,0.527889133,0.144197621,0.37252222
0.205680852,0.027128021,0.819923735,0.577987848,0.058003839
0.103399689,0.691507641,0.59670423,0.394343044,0.159514835
0.523206647,0.991487829,0.952174352,0.827205229,0.06804918
0.74170763,0.004315436,0.621958036,0.796342629,0.034335129
0.470989017,0.307029591,0.055630109,0.749160798,0.036815255
0.988025117,0.610916056,0.778747797,0.078078841,0.566660683
0.923105493,0.774773016,0.029849516,0.598384503,0.088141238
0.994765461,0.465282416,0.201403296,0.069657056,0.527416242
0.655955941,0.34649856,0.738688041,0.503265483,0.114828528
0.907135152,0.210405941,0.850954213,0.836644759,0.041286431
0.635866692,0.411685045,0.048774777,0.271244936,0.211798154
0.381688603,0.775876498,0.917500879,0.540543661,0.125683183
0.665673946,0.771968359,0.192222136,0.257363443,0.285873632
0.471858259,0.50191921,0.741959887,0.347057966,0.208040187
0.302736524,0.999550501,0.346572183,0.773524468,0.059463463
0.261223022,0.541567551,0.968230918,0.190342202,0.345481981
0.125539302,0.988233984,0.437194586,0.578919772,0.097144598
0.02920034,0.751668469,0.537753225,0.453948285,0.126057235
0.943986589,0.470456927,0.642358955,0.147644548,0.441439719
0.166412018,0.676695822,0.548298342,0.124998011,0.46959011
0.468798137,0.501709949,0.111050861,0.891700054,0.029630139
0.608482647,0.023192151,0.599447815,0.632198873,0.054543831
0.064118212,0.462989069,0.138899633,0.795034871,0.031396145
0.655496274,0.953318646,0.595081536,0.072272174,0.630879556
0.828644699,0.987297527,0.178909039,0.615066599,0.10041252
0.828515214,0.247190248,0.840402346,0.869351925,0.038304316
0.382147853,0.491213106,0.925979296,0.458611209,0.137667943
0.775902636,0.709965367,0.959758349,0.307403176,0.27606842
0.802064553,0.49523154,0.556856162,0.514374645,0.121364401
0.643107479,0.481802549,0.884514082,0.034206982,0.728084223
0.287020272,0.876533334,0.813219079,0.162284923,0.426892076
0.650490666,0.623475385,0.653663276,0.725378541,0.069803526
0.8958047,0.585640243,0.038404993,0.831072356,0.040707246
0.640924048,0.767207316,0.643966919,0.488950323,0.152929829
0.912151063,0.691829853,0.873151288,0.664951677,0.096255921
0.436523896,0.07247171,0.479879659,0.475105134,0.087484512
0.810281679,0.87078575,0.660886232,0.730790359,0.083618386
0.286867885,0.012105416,0.282213204,0.064703267,0.461772297
0.980352024,0.380151852,0.269566323,0.332968313,0.186329879
0.298138844,0.435831583,0.983560543,0.788855762,0.047644473
0.170965797,0.046462496,0.166696048,0.209559861,0.192895572
0.962079757,0.231691919,0.83503842,0.203414499,0.303983145
0.410574667,0.14705719,0.910442158,0.046524483,0.576406135
0.756200851,0.04591459,0.760206861,0.442778472,0.110682518
